"SightingIndex","SightingNumber","EntryLatitude","EntryLongitude","Team1CueLat","Team1CueLon","Team2CueLat","Team2CueLon","SpeciesCode","GroupSize","OnEffort1","OnEffort2","SightingTeam","Merged","Distance","DistUnit","RelBear","RelBearDir","ss","vis","w","g","gi","sw","cc","cn","windspeed","sal","sst","flour","cuesurveyindex","segid","Trackline","raddist","psd","psd.o","observer","detected","latitude","longitude","date.time","spegroup"
1,1,24.53533,-83.36833,24.5085045785405,-83.4420509374178,NA,NA,45,NA,1,0,1,0,0.2,"R",85,"R",3,1,0,1,1,2,2,3,7.6,36.10668,28.7845,468.8,177,3,1,8029.8477507366,7999.29175576773,7999.29175576773,1,1,24.5085045785405,-83.4420509374178,2017-07-03 09:53:50,0
1,1,24.53533,-83.36833,24.5085045785405,-83.4420509374178,NA,NA,45,NA,1,0,1,0,0.2,"R",85,"R",3,1,0,1,1,2,2,3,7.6,36.10668,28.7845,468.8,177,3,1,8029.8477507366,7999.29175576773,7999.29175576773,2,0,24.5085045785405,-83.4420509374178,2017-07-03 09:53:50,0
2,2,24.33833,-83.27367,24.34783,-83.27817,24.3460567436774,-83.2785225577277,36,NA,1,1,3,0,0,"M",45,"R",3,0,0,0,0,2,2,3,9.11,36.08813,29.1404,469.2,347,6,1,0,62.7785916904595,0,1,1,24.34783,-83.27817,2017-07-03 11:13:32,0
2,2,24.33833,-83.27367,24.34783,-83.27817,24.3460567436774,-83.2785225577277,36,NA,1,1,3,0,20,"R",19,"R",3,0,0,0,0,2,2,3,8.85,36.08786,29.1333,469.6,343,5,1,385.65560440108,62.7785916904595,125.557183380919,2,1,24.34783,-83.27817,2017-07-03 11:13:32,0
3,3,24.27283,-83.242,NA,NA,24.2790595344594,-83.2491418911231,36,NA,0,1,2,0,3,"R",14,"R",3,0,0,0,0,2,2,3,8.89,36.09596,29.0325,469.4,393,9,1,1929.62736148076,466.819109090411,466.819109090411,1,0,24.2790595344594,-83.2491418911231,2017-07-03 11:33:41,0
3,3,24.27283,-83.242,NA,NA,24.2790595344594,-83.2491418911231,36,NA,0,1,2,0,3,"R",14,"R",3,0,0,0,0,2,2,3,8.89,36.09596,29.0325,469.4,393,9,1,1929.62736148076,466.819109090411,466.819109090411,2,1,24.2790595344594,-83.2491418911231,2017-07-03 11:33:41,0
4,4,24.2655,-83.2385,24.2553149407921,-83.1793670714609,NA,NA,45,NA,1,0,1,0,0.4,"R",48,"L",3,0,0,0,0,2,2,3,9.12,36.11271,29.0038,469.6,416,11,1,6561.70401049666,4876.29638171486,4876.29638171486,1,1,24.2553149407921,-83.1793670714609,2017-07-03 11:43:33,0
4,4,24.2655,-83.2385,24.2553149407921,-83.1793670714609,NA,NA,45,NA,1,0,1,0,0.4,"R",48,"L",3,0,0,0,0,2,2,3,9.12,36.11271,29.0038,469.6,416,11,1,6561.70401049666,4876.29638171486,4876.29638171486,2,0,24.2553149407921,-83.1793670714609,2017-07-03 11:43:33,0
5,5,24.21317,-83.21383,NA,NA,24.1997913884248,-83.2350006673109,37,17,0,1,2,0,1,"R",46,"R",3,0,0,0,0,2,2,3,6.71,36.12093,28.9778,469.9,452,13,1,3814.42767935975,2743.86964527687,2743.86964527687,1,0,24.1997913884248,-83.2350006673109,2017-07-03 11:59:04,0
5,5,24.21317,-83.21383,NA,NA,24.1997913884248,-83.2350006673109,37,17,0,1,2,0,1,"R",46,"R",3,0,0,0,0,2,2,3,6.71,36.12093,28.9778,469.9,452,13,1,3814.42767935975,2743.86964527687,2743.86964527687,2,1,24.1997913884248,-83.2350006673109,2017-07-03 11:59:04,0
